date,description,amount_usd,type
2026-06-02,ACH IN PELICAN LOGISTICS POL-2026-1000,128420.0,Credit
2026-06-04,ACH IN NORTHLAKE SCHOOLS POL-2026-1001,57004.0,Credit
2026-06-06,ACH IN LANTANA RETAIL GROUP POL-2026-1002,136233.0,Credit
2026-06-06,WIRE OUT OLD COLONY SPECIALTY POL-2026-1000,-109799.0,Debit
2026-06-08,ACH IN VERDANT FARMS POL-2026-1003,129058.0,Credit
2026-06-08,WIRE OUT OLD COLONY SPECIALTY POL-2026-1001,-48738.0,Debit
2026-06-10,ACH IN BAYFRONT HEALTH POL-2026-1004,196976.0,Credit
2026-06-10,WIRE OUT GULFSTREAM PROPERTY & CAS. POL-2026-1002,-116479.0,Debit
2026-06-12,ACH IN PALMETTO BUILDERS POL-2026-1005,106150.0,Credit
2026-06-12,WIRE OUT SABLE RIVER RE POL-2026-1003,-110345.0,Debit
2026-06-14,ACH IN KESTREL AVIATION POL-2026-1006,27391.0,Credit
2026-06-14,WIRE OUT RIDGELINE MUTUAL POL-2026-1004,-168414.0,Debit
2026-06-16,ACH IN SUNRAIL PARTNERS POL-2026-1007,120065.0,Credit
2026-06-16,WIRE OUT SABLE RIVER RE POL-2026-1005,-90758.0,Debit
2026-06-18,ACH IN IRONWOOD STORAGE POL-2026-1008,209388.0,Credit
2026-06-18,WIRE OUT RIDGELINE MUTUAL POL-2026-1006,-23419.0,Debit
2026-06-19,ACH IN TALLGRASS ENERGY NO POLICY REF,46750.0,Credit
2026-06-20,ACH IN COPPER PEAK MINING POL-2026-1009,113301.0,Credit
2026-06-20,WIRE OUT RIDGELINE MUTUAL POL-2026-1007,-102656.0,Debit
2026-06-22,ACH IN MARLIN FOODS POL-2026-1010,175509.0,Credit
2026-06-22,WIRE OUT BLUE CYPRESS CASUALTY POL-2026-1008,-179027.0,Debit
2026-06-24,ACH IN SEABREEZE HOTELS POL-2026-1011,82272.0,Credit
2026-06-24,WIRE OUT SABLE RIVER RE POL-2026-1003 (DUP),-110345.0,Debit
