division,platform,region,pc_name,slt,pc_number,revenue_comments,expense_comments
Retail Division,Southeast Platform,Southeast,Daytona Beach Retail,Renner,101,"Revenue is under budget by $202,611, or 5.6%. Core commissions was under budget by $138,651.","Expenses is under budget by $21,257, or 1.2%. Compensation & benefits was under budget by $17,962."
Retail Division,Southeast Platform,Southeast,Orlando Retail,Renner,102,"Revenue is over budget by $40,276, or 1.4%. Core commissions was over budget by $30,801.","Expenses is over budget by $16,882, or 1.2%. Other operating expenses was over budget by $10,463."
Retail Division,Southeast Platform,Southeast,Tampa Bay Retail,Renner,103,"Revenue is under budget by $8,237, or 0.3%. Fees was under budget by $25,103.","Expenses is over budget by $7,048, or 0.5%. Compensation & benefits was over budget by $16,276."
Retail Division,Southeast Platform,Southeast,Atlanta Retail,Renner,104,"Revenue is under budget by $64,922, or 2.5%. Core commissions was under budget by $47,887.","Expenses is under budget by $12,714, or 1.0%. Compensation & benefits was under budget by $25,753."
Retail Division,Southeast Platform,Southeast,Charlotte Retail,Renner,105,"Revenue is over budget by $11,592, or 0.6%. Contingent commissions was under budget by $13,644.","Expenses is under budget by $7,115, or 0.8%. Compensation & benefits was under budget by $4,391."
Retail Division,Southeast Platform,Southeast,Nashville Retail,Renner,106,"Revenue is over budget by $41,346, or 2.8%. Core commissions was over budget by $33,797.","Expenses is under budget by $12,584, or 1.8%. Compensation & benefits was under budget by $16,197."
Retail Division,Central Platform,Central,Dallas Retail,Okafor,201,"Revenue is under budget by $122,454, or 4.4%. Core commissions was under budget by $64,102.","Expenses is under budget by $15,275, or 1.1%. Compensation & benefits was under budget by $13,774."
Retail Division,Central Platform,Central,Houston Retail,Okafor,202,"Revenue is under budget by $9,895, or 0.4%. Contingent commissions was under budget by $23,987.","Expenses is over budget by $4,718, or 0.4%. Compensation & benefits was over budget by $4,314."
Retail Division,Central Platform,Central,Chicago Retail,Okafor,203,"Revenue is over budget by $114,879, or 5.3%. Core commissions was over budget by $89,987.","Expenses is over budget by $3,733, or 0.4%. Occupancy & office was over budget by $2,439."
Retail Division,Central Platform,Central,Denver Retail,Okafor,204,"Revenue is under budget by $44,181, or 3.3%. Core commissions was under budget by $32,121.","Expenses is under budget by $15,427, or 2.4%. Compensation & benefits was under budget by $10,162."
Retail Division,West Platform,West,Phoenix Retail,Delgado,301,"Revenue is over budget by $32,528, or 2.0%. Core commissions was over budget by $65,024.","Expenses is under budget by $9,748, or 1.2%. Other operating expenses was under budget by $7,119."
Retail Division,West Platform,West,Orange County Retail,Delgado,302,"Revenue is under budget by $75,111, or 3.7%. Core commissions was under budget by $54,634.","Expenses is under budget by $4,313, or 0.4%. Compensation & benefits was under budget by $10,181."
Retail Division,West Platform,West,Seattle Retail,Delgado,303,"Revenue is over budget by $16,465, or 1.3%. Fees was over budget by $8,538.","Expenses is over budget by $1,218, or 0.2%. Compensation & benefits was over budget by $2,122."
Retail Division,Northeast Platform,Northeast,Boston Retail,Vasquez,401,"Revenue is over budget by $20,264, or 0.9%. Fees was over budget by $14,301.","Expenses is over budget by $22,376, or 2.1%. Compensation & benefits was over budget by $21,927."
Retail Division,Northeast Platform,Northeast,Manhattan Retail,Vasquez,402,"Revenue is over budget by $83,405, or 2.5%. Core commissions was over budget by $87,748.","Expenses is over budget by $122,355, or 7.7%. Compensation & benefits was over budget by $111,597."
Retail Division,Northeast Platform,Northeast,Philadelphia Retail,Vasquez,403,"Revenue is over budget by $56,706, or 3.6%. Core commissions was over budget by $57,998.","Expenses is over budget by $11,971, or 1.6%. Compensation & benefits was over budget by $17,658."
Specialty Distribution Division,National Programs Platform,National,Coastal Programs,Whitfield,501,"Revenue is under budget by $399,501, or 10.2%. Core commissions was under budget by $358,280.","Expenses is over budget by $36,804, or 2.0%. Other operating expenses was over budget by $19,741."
Specialty Distribution Division,National Programs Platform,National,National Wholesale Casualty,Whitfield,502,"Revenue is under budget by $36,697, or 1.3%. Core commissions was under budget by $63,512.","Expenses is over budget by $9,866, or 0.7%. Compensation & benefits was over budget by $10,134."
Specialty Distribution Division,National Programs Platform,National,Professional Lines Programs,Whitfield,503,"Revenue is under budget by $18,996, or 0.9%. Core commissions was under budget by $63,974.","Expenses is over budget by $19,630, or 1.9%. Compensation & benefits was over budget by $14,374."
Specialty Distribution Division,National Programs Platform,National,Binding Authority Group,Whitfield,504,"Revenue is over budget by $12,368, or 0.7%. Fees was over budget by $26,363.","Expenses is over budget by $15,908, or 1.9%. Compensation & benefits was over budget by $18,523."
Specialty Distribution Division,National Programs Platform,National,Personal Lines Wholesale,Whitfield,505,"Revenue is over budget by $15,644, or 1.5%. Fees was over budget by $15,864.","Expenses is under budget by $4,029, or 0.8%. Other operating expenses was under budget by $4,692."
Specialty Distribution Division,Harborlight Integration Platform,Northeast,Harborlight Specialty (acq.),Meadows,601,"Revenue is under budget by $47,564, or 2.0%. Fees was under budget by $31,933.","Expenses is over budget by $117,286, or 9.7%. Integration costs was over budget by $108,224."
Specialty Distribution Division,Harborlight Integration Platform,National,Harborlight Programs (acq.),Meadows,602,"Revenue is over budget by $45,500, or 2.5%. Core commissions was over budget by $48,605.","Expenses is over budget by $84,332, or 8.8%. Integration costs was over budget by $99,189."
