year,line_item,amount_usd
2023,Core commissions,19400000
2023,Fees,2900000
2023,Supplemental commissions,1650000
2023,Contingent commissions,2450000
2023,Total revenue,26400000
2023,Compensation & benefits,-14700000
2023,Occupancy & office,-1750000
2023,Other operating expenses,-2650000
2023,EBITDA,7300000
2024,Core commissions,20900000
2024,Fees,3150000
2024,Supplemental commissions,1800000
2024,Contingent commissions,3600000
2024,Total revenue,29450000
2024,Compensation & benefits,-15600000
2024,Occupancy & office,-1800000
2024,Other operating expenses,-2900000
2024,EBITDA,9150000
2025,Core commissions,21600000
2025,Fees,3300000
2025,Supplemental commissions,1850000
2025,Contingent commissions,4900000
2025,Total revenue,31650000
2025,Compensation & benefits,-16400000
2025,Occupancy & office,-1850000
2025,Other operating expenses,-3050000
2025,EBITDA,10250000
