profit_center_id,profit_center,region,segment,month,account,budget_usd,actual_usd
PC-101,Daytona Beach Retail,Southeast,Retail,2026-01,Core commissions,2544000.0,2586564.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-01,Fees,610560.0,552558.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-01,Supplemental commissions,279840.0,273544.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-01,Contingent commissions,0.0,0.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-01,Investment income,76320.0,86561.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-01,Compensation & benefits,1348320.0,1362615.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-01,Occupancy & office,152640.0,157429.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-01,Integration costs,0.0,0.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-01,Other operating expenses,228960.0,213828.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-02,Core commissions,2328000.0,2306188.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-02,Fees,558720.0,506178.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-02,Supplemental commissions,256080.0,248875.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-02,Contingent commissions,0.0,0.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-02,Investment income,69840.0,76237.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-02,Compensation & benefits,1233840.0,1211545.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-02,Occupancy & office,139680.0,141355.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-02,Integration costs,0.0,0.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-02,Other operating expenses,209520.0,211027.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-03,Core commissions,2400000.0,2319487.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-03,Fees,576000.0,586283.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-03,Supplemental commissions,264000.0,272169.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-03,Contingent commissions,108000.0,84312.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-03,Investment income,72000.0,81496.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-03,Compensation & benefits,1272000.0,1259808.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-03,Occupancy & office,144000.0,140031.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-03,Integration costs,0.0,0.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-03,Other operating expenses,216000.0,231801.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-04,Core commissions,2328000.0,2282351.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-04,Fees,558720.0,513212.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-04,Supplemental commissions,256080.0,245753.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-04,Contingent commissions,0.0,0.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-04,Investment income,69840.0,78655.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-04,Compensation & benefits,1233840.0,1256577.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-04,Occupancy & office,139680.0,142247.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-04,Integration costs,0.0,0.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-04,Other operating expenses,209520.0,210734.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-05,Core commissions,2400000.0,2536257.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-05,Fees,576000.0,562007.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-05,Supplemental commissions,264000.0,265374.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-05,Contingent commissions,0.0,0.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-05,Investment income,72000.0,81152.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-05,Compensation & benefits,1272000.0,1299605.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-05,Occupancy & office,144000.0,144891.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-05,Integration costs,0.0,0.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-05,Other operating expenses,216000.0,223070.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-06,Core commissions,2544000.0,2405349.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-06,Fees,610560.0,577333.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-06,Supplemental commissions,279840.0,273946.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-06,Contingent commissions,108000.0,75830.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-06,Investment income,76320.0,83651.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-06,Compensation & benefits,1348320.0,1330358.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-06,Occupancy & office,152640.0,154297.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-06,Integration costs,0.0,0.0
PC-101,Daytona Beach Retail,Southeast,Retail,2026-06,Other operating expenses,228960.0,224008.0
PC-102,Orlando Retail,Southeast,Retail,2026-01,Core commissions,2014000.0,1982625.0
PC-102,Orlando Retail,Southeast,Retail,2026-01,Fees,483360.0,455277.0
PC-102,Orlando Retail,Southeast,Retail,2026-01,Supplemental commissions,221540.0,216378.0
PC-102,Orlando Retail,Southeast,Retail,2026-01,Contingent commissions,0.0,0.0
PC-102,Orlando Retail,Southeast,Retail,2026-01,Investment income,60420.0,68207.0
PC-102,Orlando Retail,Southeast,Retail,2026-01,Compensation & benefits,1067420.0,1074409.0
PC-102,Orlando Retail,Southeast,Retail,2026-01,Occupancy & office,120840.0,117661.0
PC-102,Orlando Retail,Southeast,Retail,2026-01,Integration costs,0.0,0.0
PC-102,Orlando Retail,Southeast,Retail,2026-01,Other operating expenses,181260.0,187905.0
PC-102,Orlando Retail,Southeast,Retail,2026-02,Core commissions,1843000.0,1768558.0
