month,carrier,written_premium_usd,base_commission_rate,base_commission_usd,supplemental_commission_usd,contingent_accrual_usd,carrier_ytd_loss_ratio,contingent_threshold_loss_ratio,business_type
2026-01,Ridgeline Mutual,13686056.0,0.145,1984478.0,150547.0,383210.0,0.52,0.6,R
2026-01,Gulfstream Property & Cas.,10704830.0,0.15,1605725.0,117753.0,374669.0,0.48,0.6,R
2026-01,Meridian National,9466027.0,0.14,1325244.0,104126.0,66262.0,0.58,0.6,R
2026-01,Old Colony Specialty,7266852.0,0.155,1126362.0,79935.0,254340.0,0.45,0.6,R
2026-01,Blue Cypress Casualty,6015270.0,0.135,812061.0,66168.0,0.0,0.61,0.6,R
2026-01,Sable River Re,4179395.0,0.12,501527.0,45973.0,73139.0,0.55,0.6,R
2026-02,Ridgeline Mutual,14261017.0,0.145,2067847.0,156871.0,349395.0,0.53,0.6,R
2026-02,Gulfstream Property & Cas.,10744358.0,0.15,1611654.0,118188.0,188026.0,0.55,0.6,R
2026-02,Meridian National,9310101.0,0.14,1303414.0,102411.0,65171.0,0.58,0.6,R
2026-02,Old Colony Specialty,6912854.0,0.155,1071492.0,76041.0,241950.0,0.44,0.6,R
2026-02,Blue Cypress Casualty,6031537.0,0.135,814257.0,66347.0,0.0,0.62,0.6,R
2026-02,Sable River Re,4301992.0,0.12,516239.0,47322.0,90342.0,0.54,0.6,R
2026-03,Ridgeline Mutual,13745304.0,0.145,1993069.0,151198.0,288651.0,0.54,0.6,R
2026-03,Gulfstream Property & Cas.,11856770.0,0.15,1778515.0,130424.0,0.0,0.63,0.6,R
2026-03,Meridian National,9348813.0,0.14,1308834.0,102837.0,98163.0,0.57,0.6,R
2026-03,Old Colony Specialty,7268134.0,0.155,1126561.0,79949.0,254385.0,0.46,0.6,R
2026-03,Blue Cypress Casualty,5745553.0,0.135,775650.0,63201.0,0.0,0.63,0.6,R
2026-03,Sable River Re,4124407.0,0.12,494929.0,45368.0,57742.0,0.56,0.6,R
2026-04,Ridgeline Mutual,13328523.0,0.145,1932636.0,146614.0,233249.0,0.55,0.6,R
2026-04,Gulfstream Property & Cas.,11689719.0,0.15,1753458.0,128587.0,0.0,0.71,0.6,R
2026-04,Meridian National,9219201.0,0.14,1290688.0,101411.0,64534.0,0.58,0.6,R
2026-04,Old Colony Specialty,6970280.0,0.155,1080393.0,76673.0,243960.0,0.45,0.6,R
2026-04,Blue Cypress Casualty,6238296.0,0.135,842170.0,68621.0,0.0,0.62,0.6,R
2026-04,Sable River Re,4391168.0,0.12,526940.0,48303.0,76845.0,0.55,0.6,R
2026-05,Ridgeline Mutual,13886407.0,0.145,2013529.0,152750.0,243012.0,0.55,0.6,R
2026-05,Gulfstream Property & Cas.,11134799.0,0.15,1670220.0,122483.0,0.0,0.78,0.6,R
2026-05,Meridian National,9321228.0,0.14,1304972.0,102534.0,32624.0,0.59,0.6,R
2026-05,Old Colony Specialty,6810728.0,0.155,1055663.0,74918.0,238375.0,0.44,0.6,R
2026-05,Blue Cypress Casualty,6040146.0,0.135,815420.0,66442.0,0.0,0.64,0.6,R
2026-05,Sable River Re,4266480.0,0.12,511978.0,46931.0,59731.0,0.56,0.6,R
2026-06,Ridgeline Mutual,14349833.0,0.145,2080726.0,157848.0,200898.0,0.56,0.6,R
2026-06,Gulfstream Property & Cas.,11478479.0,0.15,1721772.0,126263.0,0.0,0.83,0.6,R
2026-06,Meridian National,9210587.0,0.14,1289482.0,101316.0,64474.0,0.58,0.6,R
2026-06,Old Colony Specialty,6741781.0,0.155,1044976.0,74160.0,235962.0,0.45,0.6,R
2026-06,Blue Cypress Casualty,6010555.0,0.135,811425.0,66116.0,0.0,0.65,0.6,R
2026-06,Sable River Re,4461184.0,0.12,535342.0,49073.0,46842.0,0.57,0.6,R
